x,y
3.15,1.55
0.02,3.56
1.66,1.07
0.07,1.89
2.62,3.84
3.78,3.63
2.98,3.49
3.18,1.8
0.77,0.76
4.05,0.51
3.76,3.63
0.99,2.43
5.08,3.72
2.79,0.41
3.77,0.65
3.57,1.36
1.72,1.72
2.97,0.34
4.43,1.83
1.4,1.23
5.87,0.25
5.73,2.38
0.95,0.67
2.64,0.38
1.33,1.03
5.75,3.13
1.07,1.6
3.73,2.69
2.08,0.14
5.1,0.5
3.5,1.23
3.77,1.09
2.0,3.34
0.95,0.88
3.4,1.77
1.41,2.33
0.56,2.5
0.43,2.59
2.98,0.54
3.81,1.43
5.5,1.67
3.05,0.71
1.53,1.14
1.05,3.34
5.41,2.75
0.9,3.3
0.05,0.28
4.97,2.49
2.3,1.45
0.12,1.97
3.7,1.74
0.64,3.42
3.89,1.24
2.84,0.89
0.27,1.62
2.27,3.38
2.89,2.19
3.99,1.22
2.89,2.16
5.07,2.09
1.89,2.41
5.27,2.93
0.19,0.44
3.68,1.42
0.16,2.73
1.73,3.14
1.13,3.12
3.68,2.34
3.97,2.69
0.13,2.86
2.69,3.64
1.91,3.76
3.78,0.19
3.57,3.27
4.63,3.05
2.98,0.71
0.85,1.0
0.59,1.47
4.59,0.65
2.82,0.41
5.62,0.54
4.23,0.73
4.64,1.95
3.55,3.74
3.48,1.89
2.18,3.28
1.59,3.98
5.55,0.62
5.17,2.79
4.61,2.7
1.15,3.29
2.06,0.8
0.58,1.28
5.78,1.76
1.39,1.03
3.17,2.64
2.01,2.88
0.92,2.94
0.29,0.09
3.44,3.31
4.78,0.95
3.61,3.49
0.16,2.96
1.14,2.96
0.28,3.14
4.15,0.09
0.53,3.14
4.24,0.42
4.21,1.54
3.02,1.2
3.27,0.74
2.27,2.83
4.2,1.44
3.02,1.92
0.69,1.33
4.06,0.94
2.62,0.31
1.23,1.68
3.24,2.31
3.45,2.23
1.58,1.95
5.26,1.42
2.66,0.19
0.19,3.81
1.09,3.43
3.99,2.61
2.06,0.9
0.91,3.22
4.38,1.58
4.33,2.84
5.96,0.5
4.4,2.89
2.19,3.0
1.06,0.24
2.67,0.49
1.24,0.69
5.28,2.0
0.47,3.56
3.02,3.06
0.83,0.1
3.71,0.66
3.66,2.01
2.82,0.41
4.98,2.48
3.31,1.35
1.29,1.91
2.23,1.62
4.08,1.04
2.87,3.87
2.79,2.03
0.13,1.08
1.91,0.91
5.41,3.6
4.58,0.84
3.84,1.97
4.4,2.94
2.1,0.79
1.45,1.46
5.42,0.88
4.96,1.68
1.14,3.47
2.66,1.5
3.54,1.05
1.09,1.03
1.3,3.87
3.78,3.75
1.42,2.18
5.74,0.19
3.3,1.13
5.05,0.67
2.85,0.41
1.0,3.26
3.69,3.99
0.05,2.84
5.6,0.49
4.81,3.21
1.64,0.36
4.57,2.18
5.33,3.57
3.17,3.48
2.07,1.31
4.58,2.19
0.39,2.76
5.5,2.0
0.59,0.53
3.86,0.06
1.47,3.75
2.67,2.93
2.74,2.74
5.59,2.71
3.6,0.85
4.42,2.75
5.97,0.1
3.21,3.78
5.41,3.55
4.55,2.18
5.84,0.07
3.87,1.61
0.18,2.06
5.66,0.45
5.8,1.81
0.89,3.19
2.49,0.89
2.92,1.44
5.24,2.65
5.43,0.11
2.19,2.91
1.53,2.17
2.0,1.5
2.86,3.49
2.4,3.05
0.27,3.26
5.0,2.89
0.99,2.03
0.11,3.96
1.07,1.69
0.3,2.56
2.78,0.0
3.33,2.85
3.8,3.61
1.27,0.17
1.4,1.35
0.32,3.83
1.14,3.51
3.01,2.05
1.56,2.89
1.69,2.97
2.01,1.39
4.81,1.63
5.92,0.55
2.0,2.35
5.15,2.35
1.88,2.43
3.25,1.74
2.73,2.42
2.42,0.27
4.94,1.37
2.49,1.89
0.14,2.84
2.48,3.89
4.02,2.96
2.24,0.03
4.89,3.16
1.36,0.99
4.08,0.49
2.76,1.63
5.99,3.54
1.52,1.03
3.74,0.67
1.04,1.52
2.94,2.82
3.03,1.97
5.76,1.65
1.15,1.07
3.63,0.16
5.39,3.48
