x,y
9.7,1.91
9.07,1.18
17.91,0.72
14.91,2.69
17.35,0.47
18.75,0.69
9.42,3.6
16.37,3.81
18.73,2.65
12.2,0.65
13.89,0.84
9.59,0.24
16.58,0.03
12.02,1.27
18.94,0.27
18.16,0.02
12.05,2.91
7.48,3.74
10.39,3.64
15.0,1.04
10.37,2.18
12.19,1.47
8.31,1.58
18.07,2.01
16.74,3.23
9.0,2.74
17.64,1.58
14.49,3.87
14.91,0.3
15.95,1.16
17.4,1.92
13.1,2.71
15.02,0.41
16.18,3.54
11.57,1.29
9.07,0.19
13.5,3.26
17.75,1.62
12.28,2.72
11.44,2.45
10.09,0.26
18.99,3.15
10.83,3.78
14.4,3.56
9.42,1.01
8.91,3.0
8.6,1.7
17.76,2.52
15.61,0.52
18.54,3.52
14.1,3.18
10.01,3.82
18.75,1.34
8.46,3.07
19.46,1.73
12.85,0.59
14.43,1.98
17.74,3.76
12.23,2.17
16.05,0.3
9.52,3.8
15.17,3.41
16.37,1.28
12.14,2.1
9.91,1.68
14.4,0.77
16.64,2.04
18.17,3.8
14.9,0.71
17.4,0.96
13.82,0.6
14.58,1.44
7.5,2.22
16.39,0.26
19.56,1.41
7.01,1.55
10.75,3.33
15.12,3.03
10.75,1.49
17.39,3.09
